FID,longitude,latitude
200,113.9230768,34.17722593
201,114.2643022,34.16861584
202,114.6053748,34.15905958
203,114.9462789,34.14855862
204,115.2869986,34.1371146
205,115.6275182,34.12472927
206,115.9678221,34.11140453
207,116.3078946,34.09714245
208,116.6477203,34.0819452
209,110.5043461,34.48029111
210,110.8473158,34.48120082
211,111.1902927,34.48114805
212,111.5332606,34.4801328
213,111.8762033,34.47815524
214,112.2191043,34.47521566
215,112.5619476,34.47131453
216,112.9047169,34.46645246
217,113.247396,34.4606302
218,113.5899686,34.45384866
219,113.9324187,34.44610889
220,114.2747302,34.4374121
221,114.6168869,34.42775962
222,114.9588728,34.41715298
223,115.300672,34.40559379
224,115.6422686,34.39308387
225,115.9836466,34.37962513
226,116.3247903,34.36521966
227,116.665684,34.34986967
228,110.5027432,34.74950307
229,110.846822,34.75042192
230,111.1909081,34.75036862
231,111.534985,34.74934318
232,111.8790364,34.74734576
233,112.2230456,34.74437667
234,112.5669963,34.74043637
235,112.910872,34.73552549
236,113.2546563,34.72964479
237,113.5983329,34.72279519
238,113.9418853,34.71497775
239,114.2852972,34.70619371
240,114.6285523,34.69644442
241,114.9716345,34.68573141
242,115.3145276,34.67405635
243,115.6572153,34.66142104
244,115.9996817,34.64782746
245,116.3419108,34.63327771
246,116.6838865,34.61777404
247,110.501119,35.01870305
248,110.8463216,35.0196311
249,111.1915317,35.01957726
250,111.5367325,35.01854156
251,111.8819073,35.01652415
252,112.2270395,35.01352536
253,112.5721124,35.00954565
254,112.9171093,35.00458564
255,113.2620136,34.99864613
256,113.6068087,34.99172803
257,113.951478,34.98383244
258,114.296005,34.97496059
259,114.6403733,34.96511387
260,114.9845662,34.95429383
261,115.3285676,34.94250214
262,115.672361,34.92974067
263,116.0159301,34.91601139
264,116.3592588,34.90131644
265,116.7023309,34.88565811
266,110.4994731,35.287891
267,110.8458146,35.2888283
268,111.1921636,35.28877393
269,111.5385032,35.2877279
270,111.8848166,35.28569038
271,112.2310867,35.28266169
272,112.5772967,35.2786423
273,112.9234298,35.27363286
274,113.269469,35.26763415
275,113.6153975,35.26064712
276,113.9611987,35.25267287
277,114.3068556,35.24371265
278,114.6523517,35.23376787
279,114.9976702,35.2228401
280,115.3427945,35.21093106
281,115.6877081,35.1980426
282,116.0323946,35.18417676
283,116.3768374,35.16933569
284,116.7210203,35.15352173
285,110.4978053,35.55706688
286,110.8453008,35.55801349
287,111.192804,35.55795858
288,111.5402976,35.55690216
289,111.8877646,35.55484439
290,112.2351879,35.55178561
291,112.5825502,35.54772629
292,112.9298345,35.54266709
293,113.2770238,35.5366088
294,113.6241009,35.52955239
295,113.9710489,35.52149896
296,114.3178508,35.5124498
297,114.6644896,35.50240633
298,115.0109485,35.49137014
299,115.3572107,35.47934297
300,115.7032594,35.46632671
301,116.0490779,35.45232342
302,116.3946496,35.4373353
303,116.7399579,35.42136469
304,110.4961151,35.82623065
305,110.8447801,35.82718663
306,111.1934529,35.82713118
307,111.542116,35.82606429
308,111.8907521,35.82398615
309,112.2393438,35.82089708
310,112.5878738,35.81679757
311,112.9363248,35.81168828
312,113.2846793,35.80557002
313,113.6329203,35.79844376
314,113.9810304,35.79031064
315,114.3289924,35.78117195
316,114.6767892,35.77102914
317,115.0244037,35.75988382
318,115.3718188,35.74773775
319,115.7190176,35.73459286
320,116.0659831,35.72045123
321,116.4126985,35.70531508
322,116.7591469,35.68918681
323,110.4944024,36.09538227
324,110.8442525,36.09634769
325,111.1941104,36.09629169
326,111.5439586,36.09521427
327,111.8937794,36.09311561
328,112.2435552,36.08999605
329,112.5932684,36.08585608
330,112.9429016,36.08069637
331,113.292437,36.07451774
332,113.6418573,36.06732118
333,113.991145,36.05910784
334,114.3402826,36.04987902
335,114.6892527,36.03963621
336,115.0380381,36.02838104
337,115.3866214,36.01611529
338,115.7349854,36.00284092
339,116.083113,35.98856003
340,116.4309872,35.97327489
341,116.7785908,35.95698792
342,110.4926669,36.3645217
343,110.8437179,36.36549662
344,111.1947768,36.36544007
345,111.5458258,36.36435205
346,111.8968471,36.36223274
347,112.2478228,36.35908248
348,112.5987351,36.35490178
349,112.9495661,36.34969131
350,113.3002982,36.3434519
351,113.6509135,36.33618456
352,114.0013944,36.32789046
353,114.3517232,36.31857092
354,114.7018822,36.30822744
355,115.051854,36.29686168
356,115.4016209,36.28447545
357,115.7511656,36.27107073
358,116.1004707,36.25664966
359,116.4495189,36.24121454
360,116.798293,36.22476783
