id,latitude,longitude,rank,data
3848,32.145041,115.037944,1,1
12027,34.396667,113.745556,1,3
10131,32.474360,115.404571,1,3
3850,32.342792,114.740456,1,3
3868,32.162613,114.134647,1,4
5347,34.551861,114.777250,1,5
10081,33.284005,113.551878,1,5
11619,34.446090,115.068080,1,5
5191,32.962940,114.644300,1,5
13049,32.797300,113.999320,1,5
20640,33.148930,113.960690,1,5
3860,33.378536,114.025870,1,5
5185,33.380249,114.007323,1,5
11921,32.684434,115.044002,1,5
20641,32.757175,114.950469,1,5
20587,34.515800,110.896300,1,5
4041,33.138704,113.997581,1,6
3720,34.043301,113.868985,1,7
10060,34.151573,112.475425,1,7
11766,34.786600,113.383385,1,7
12975,32.817500,114.020278,1,7
11633,34.475008,115.305728,1,7
12097,31.785000,115.411111,1,7
7756,34.032383,113.824092,1,8
17859,34.761389,111.843611,1,8
11635,34.412872,115.846662,1,8
12960,34.423522,115.078576,1,8
12277,33.015200,114.343590,1,8
4593,33.275642,114.258362,1,8
4594,32.316804,114.525471,1,8
23713,34.088158,114.116731,1,8
1818,35.271432,113.890242,1,9
524,33.774499,113.186869,1,9
10108,34.657188,115.153999,1,9
4470,34.086639,113.850047,1,10
1800,34.402800,115.652051,1,10
1798,34.393202,115.634814,1,10
12312,34.402000,115.657778,1,10
14873,34.720660,111.103252,1,10
3721,34.762264,111.228754,1,10
11661,34.648611,115.177778,1,10
12961,34.401667,115.823889,1,10
3847,31.804035,115.428329,1,10
20643,32.173710,115.663003,1,10
3797,34.544840,113.356604,1,10
12090,33.603703,113.325570,1,10
11771,33.870000,113.051389,1,10
12101,33.741847,112.978271,1,10
10080,33.338240,113.516900,1,10
1797,34.427268,115.675596,1,11
1812,34.014298,113.833193,1,11
16149,36.106582,114.299435,1,11
566,34.773247,111.200827,1,11
20591,34.393013,111.657815,1,11
23741,36.105586,114.298090,1,11
5188,33.256490,114.259694,1,11
4764,34.461249,115.314158,1,11
11644,33.508222,112.416361,1,11
20647,35.861254,115.495186,1,11
10042,35.411249,114.079597,1,11
13126,34.717889,111.109592,1,12
15209,34.125100,113.813400,1,12
1788,32.061869,114.130080,1,12
1810,33.587242,114.007681,1,12
20607,33.844800,113.477500,1,12
10088,33.851713,113.507006,1,12
10093,33.436006,113.592321,1,12
5354,35.984667,115.862194,1,12
20642,32.185201,115.652210,1,12
4609,34.555611,114.756457,1,12
4610,34.487642,114.465996,1,12
10059,34.112920,112.068470,1,12
11751,34.241521,112.872806,1,12
3695,35.307596,113.906465,1,12
4467,34.375458,115.671330,1,12
1,36.101383,114.361148,1,13
522,33.739200,113.321900,1,13
3796,34.537905,113.389482,1,13
7984,36.195315,114.389654,1,13
11648,32.119497,115.053506,1,13
12965,34.024000,114.386000,1,13
15239,33.829167,113.926583,1,13
15237,33.840722,113.914500,1,13
3697,34.058885,111.073394,1,13
11920,32.684611,112.837667,1,13
11784,35.047514,114.430950,1,13
3869,32.101031,114.125656,1,13
1816,35.730918,114.294564,1,14
1786,32.113739,114.059540,1,14
1809,33.581255,114.019286,1,14
20588,34.512500,110.870000,1,14
10043,35.401737,114.068236,1,14
24798,34.205170,113.801852,1,14
11776,33.864444,112.893889,1,14
5197,32.737531,113.329627,1,14
20606,34.185016,112.848489,1,14
12094,35.957669,114.894849,1,14
3806,34.411062,114.188239,1,14
11288,34.135600,112.485400,1,14
1811,34.111363,113.829853,1,15
5199,35.282562,113.924987,1,15
12404,34.782200,111.190000,1,15
890,34.807610,113.570805,1,15
5352,34.476056,114.456833,1,15
10068,34.738060,112.801670,1,15
15455,36.019027,114.587118,1,15
13726,35.794858,115.019983,1,15
5127,34.781596,111.196664,1,15
11625,34.057472,114.386278,1,15
11797,33.550466,114.592578,1,15
11653,34.229986,116.161304,1,15
20583,35.665200,114.526000,1,15
13585,35.709639,115.029861,1,15
9802,34.907222,113.208889,1,15
16855,35.077663,112.713416,1,15
3722,35.303704,113.926763,1,16
1820,35.243572,113.899216,1,16
1784,32.172396,114.538790,1,16
1789,32.967671,114.030465,1,16
523,33.735163,113.297705,1,16
12062,34.769080,111.789233,1,16
17858,34.793325,111.143228,1,16
20586,34.748889,111.868611,1,16
16852,34.928431,112.524757,1,16
10038,34.918647,112.786048,1,16
10134,35.781630,115.027692,1,16
11468,32.695363,112.174926,1,16
11659,33.144722,111.495556,1,16
11613,31.610833,114.870833,1,16
11934,32.603600,114.396700,1,16
5,36.062000,114.489483,1,16
4547,33.593835,114.063871,1,16
12945,35.300936,114.066492,1,16
3803,34.454588,113.069407,1,16
1825,34.752915,113.024497,1,16
8010,34.723912,112.973372,1,16
3792,34.718721,113.978153,1,16
11765,34.780331,113.404999,1,16
10586,33.864975,113.086829,1,16
13116,36.091399,114.307484,1,17
1787,32.133488,114.008308,1,17
12307,33.729700,113.302500,1,17
14952,33.582800,114.013800,1,17
361,34.776298,114.344375,1,17
889,34.770683,113.740135,1,17
20598,34.729836,112.150627,1,17
20597,34.122945,112.113079,1,17
12093,35.939315,114.386143,1,17
4548,33.531616,114.061237,1,17
4371,34.748970,114.460087,1,17
1809,33.581255,114.019286,1,17
23739,33.292108,113.524414,1,17
20579,35.222700,113.438300,1,17
11496,33.409058,115.090928,1,17
10107,34.068625,114.865725,1,17
3845,32.007999,114.912691,1,17
10094,33.453579,113.618933,1,17
11787,33.257260,113.008190,1,17
25271,36.227581,114.287527,1,17
17861,34.715822,111.562958,1,17
9826,35.236396,113.180645,1,18
891,34.749721,113.645183,1,18
892,34.741145,113.680212,1,18
569,34.789043,111.168221,1,18
8301,36.087752,114.398170,1,18
1739,35.776669,115.081092,1,18
3243,34.827766,114.255401,1,18
1803,33.635975,114.683400,1,18
15512,34.815414,112.440907,1,18
888,34.747674,113.605480,1,18
24745,34.749491,113.646087,1,18
11582,33.039083,112.244833,1,18
17887,36.076091,115.212480,1,18
4580,35.178149,113.772367,1,18
8004,35.187996,114.663102,1,18
11598,32.197756,114.509762,1,18
11583,33.560530,114.620100,1,18
23884,35.540201,114.530645,1,18
13159,34.789597,114.342169,1,18
11770,34.453666,113.049387,1,18
3791,34.716450,113.976330,1,18
24224,34.827257,114.795178,1,18
24740,33.781429,111.642917,1,18
1804,33.612734,114.667788,1,19
1795,32.967697,112.552877,1,19
1808,33.568889,114.009810,1,19
13158,34.867994,113.617055,1,19
7765,35.577763,114.498948,1,19
11922,34.383056,113.770278,1,19
1806,34.827096,114.318631,1,19
12275,34.422064,114.188701,1,19
3841,34.091082,115.305708,1,19
13584,34.176037,113.475457,1,19
5364,35.099157,113.401745,1,19
5362,35.970472,115.867306,1,19
13121,33.898713,112.898818,1,20
895,34.802886,113.681189,1,20
887,34.720985,113.742584,1,20
1817,35.142179,114.205793,1,20
9770,34.807217,114.350575,1,20
24742,34.387028,111.690292,1,20
24746,34.721977,113.742882,1,20
3716,35.076240,112.509586,1,20
21463,35.072641,112.519782,1,20
16850,35.101133,112.507286,1,20
17862,34.519019,110.395152,1,20
5361,34.918611,112.786111,1,20
11753,33.947523,116.460375,1,20
11654,32.006254,114.914068,1,20
12970,34.073530,114.872262,1,20
13048,32.981722,114.009606,1,20
3717,33.596972,114.011259,1,20
4574,32.981543,112.619938,1,20
12092,33.709855,112.922660,1,20
10056,34.726328,112.132439,1,20
20593,34.724429,112.784423,1,20
1802,33.638775,114.642184,1,21
1801,33.611090,114.667254,1,21
24743,34.174218,112.229717,1,21
5379,35.695278,114.547222,1,21
12962,34.243700,116.137900,1,21
24797,35.602000,114.207100,1,21
20584,35.623100,114.206700,1,21
4581,35.201912,114.670940,1,21
23709,34.241944,113.778611,1,21
10112,33.126470,111.525506,1,21
1834,32.694664,112.093833,1,21
15219,34.662000,112.367700,1,22
4697,34.901082,112.581964,1,22
13118,34.749530,114.458029,1,22
12343,34.796389,114.365000,1,22
1791,32.958608,114.047999,1,22
13117,32.822189,114.030078,1,22
1794,32.962336,112.571038,1,22
1796,33.018889,112.498142,1,22
4692,35.766661,115.005943,1,22
21664,35.176000,113.246700,1,22
24744,34.387028,111.690292,1,22
23885,34.662222,112.373543,1,22
12273,35.068000,112.633000,1,22
11678,32.522778,112.353611,1,22
11591,32.365194,113.396306,1,22
12055,33.039167,111.845361,1,22
20580,35.087592,112.941077,1,22
11752,33.929927,116.449864,1,22
10139,35.972016,114.901460,1,22
23722,36.061944,113.833333,1,22
12095,36.059823,113.826670,1,22
13538,33.029125,112.563346,1,22
4546,33.558351,113.964724,1,22
1793,32.970894,112.506405,1,23
3736,35.060062,112.610908,1,23
330,35.267096,113.206659,1,23
7985,36.060634,114.176662,1,23
12972,33.451570,114.925976,1,23
20618,33.967597,115.276179,1,23
11594,33.805816,114.532067,1,23
10136,36.065517,115.202325,1,23
4762,35.071311,113.950276,1,23
440,34.686558,112.499947,1,24
24108,32.992300,112.523400,1,24
1741,35.760588,115.063303,1,24
