id,latitude,longitude,rank,data
11583,33.560530,114.620100,1,1
4044,32.727522,114.284840,1,2
17859,34.761389,111.843611,1,2
11635,34.412872,115.846662,1,2
1812,34.014298,113.833193,1,2
1810,33.587242,114.007681,1,2
1804,33.612734,114.667788,1,2
20590,34.384435,111.662396,1,2
14953,33.569800,114.026100,1,2
20586,34.748889,111.868611,1,3
5127,34.781596,111.196664,1,3
1802,33.638775,114.642184,1,3
20607,33.844800,113.477500,1,3
12970,34.073530,114.872262,1,3
11581,33.746403,114.902003,1,3
12404,34.782200,111.190000,1,3
3850,32.342792,114.740456,1,4
3862,32.956197,114.621228,1,4
5191,32.962940,114.644300,1,4
3860,33.378536,114.025870,1,4
20641,32.757175,114.950469,1,4
10094,33.453579,113.618933,1,4
3720,34.043301,113.868985,1,4
1803,33.635975,114.683400,1,4
10060,34.151573,112.475425,1,4
11288,34.135600,112.485400,1,5
4467,34.375458,115.671330,1,5
11468,32.695363,112.174926,1,5
10088,33.851713,113.507006,1,5
11644,33.508222,112.416361,1,5
4764,34.461249,115.314158,1,5
11934,32.603600,114.396700,1,5
11921,32.684434,115.044002,1,5
4593,33.275642,114.258362,1,5
12965,34.024000,114.386000,1,5
10105,33.644419,115.194947,1,5
12968,33.639200,115.167600,1,5
3721,34.762264,111.228754,1,6
5188,33.256490,114.259694,1,6
11601,33.388443,115.073350,1,6
11594,33.805816,114.532067,1,6
11579,33.773157,114.520642,1,6
5185,33.380249,114.007323,1,6
15239,33.829167,113.926583,1,6
4470,34.086639,113.850047,1,6
23885,34.662222,112.373543,1,7
1811,34.111363,113.829853,1,7
1807,33.568452,114.057393,1,7
13120,33.590524,114.097133,1,7
10586,33.864975,113.086829,1,7
10080,33.338240,113.516900,1,7
4588,34.102700,115.329301,1,7
10114,33.056659,112.948739,1,7
5197,32.737531,113.329627,1,7
11496,33.409058,115.090928,1,7
15179,33.590600,114.096700,1,7
15219,34.662000,112.367700,1,7
20587,34.515800,110.896300,1,8
566,34.773247,111.200827,1,8
3865,32.717387,113.324920,1,8
11776,33.864444,112.893889,1,8
4594,32.316804,114.525471,1,8
3841,34.091082,115.305708,1,8
11633,34.475008,115.305728,1,8
11653,34.229986,116.161304,1,8
23708,34.114608,114.157301,1,8
20606,34.185016,112.848489,1,8
20583,35.665200,114.526000,1,8
7756,34.032383,113.824092,1,8
4546,33.558351,113.964724,1,8
17858,34.793325,111.143228,1,9
4548,33.531616,114.061237,1,9
1801,33.611090,114.667254,1,9
1808,33.568889,114.009810,1,9
12312,34.402000,115.657778,1,9
1797,34.427268,115.675596,1,9
3803,34.454588,113.069407,1,9
12027,34.396667,113.745556,1,9
15237,33.840722,113.914500,1,9
11787,33.257260,113.008190,1,9
12962,34.243700,116.137900,1,9
10112,33.126470,111.525506,1,9
4547,33.593835,114.063871,1,9
12969,33.734083,114.871944,1,9
4041,33.138704,113.997581,1,10
10107,34.068625,114.865725,1,10
4572,32.674517,112.614825,1,10
12960,34.423522,115.078576,1,10
20602,34.414444,112.441389,1,10
10081,33.284005,113.551878,1,10
1800,34.402800,115.652051,1,10
13048,32.981722,114.009606,1,10
10082,33.903188,112.890748,1,10
17862,34.519019,110.395152,1,10
442,34.706887,112.526927,1,11
23739,33.292108,113.524414,1,11
13121,33.898713,112.898818,1,11
7984,36.195315,114.389654,1,11
13119,33.566275,113.974987,1,11
8003,35.197517,114.708969,1,11
23713,34.088158,114.116731,1,11
13584,34.176037,113.475457,1,11
12973,33.460167,114.876807,1,11
12972,33.451570,114.925976,1,11
12307,33.729700,113.302500,1,11
20588,34.512500,110.870000,1,12
16855,35.077663,112.713416,1,12
12277,33.015200,114.343590,1,12
11918,33.263167,113.035167,1,12
11661,34.648611,115.177778,1,12
12073,35.931945,114.363071,1,12
1798,34.393202,115.634814,1,12
11770,34.453666,113.049387,1,12
13117,32.822189,114.030078,1,12
3722,35.303704,113.926763,1,12
440,34.686558,112.499947,1,12
8301,36.087752,114.398170,1,12
1791,32.958608,114.047999,1,13
3868,32.162613,114.134647,1,13
13538,33.029125,112.563346,1,13
20601,34.537766,112.156661,1,13
20598,34.729836,112.150627,1,13
11765,34.780331,113.404999,1,13
3797,34.544840,113.356604,1,13
11753,33.947523,116.460375,1,13
20642,32.185201,115.652210,1,13
11791,33.070526,112.924001,1,13
10093,33.436006,113.592321,1,13
24798,34.205170,113.801852,1,13
5,36.062000,114.489483,1,13
3736,35.060062,112.610908,1,13
4575,32.629163,112.582440,1,13
4576,33.253610,112.633200,1,13
20640,33.148930,113.960690,1,13
11625,34.057472,114.386278,1,13
3848,32.145041,115.037944,1,13
16856,35.046130,112.600987,1,13
12273,35.068000,112.633000,1,14
20619,33.865219,115.458755,1,14
12975,32.817500,114.020278,1,14
1834,32.694664,112.093833,1,14
10136,36.065517,115.202325,1,14
11920,32.684611,112.837667,1,14
3849,32.437942,115.414643,1,14
4609,34.555611,114.756457,1,14
20592,34.417606,112.420157,1,14
11751,34.241521,112.872806,1,14
8004,35.187996,114.663102,1,14
3717,33.596972,114.011259,1,14
15512,34.815414,112.440907,1,14
1796,33.018889,112.498142,1,14
9770,34.807217,114.350575,1,14
1818,35.271432,113.890242,1,14
891,34.749721,113.645183,1,14
15209,34.125100,113.813400,1,14
23722,36.061944,113.833333,1,15
3806,34.411062,114.188239,1,15
20591,34.393013,111.657815,1,15
10108,34.657188,115.153999,1,15
23709,34.241944,113.778611,1,15
12062,34.769080,111.789233,1,15
10047,34.776917,111.767532,1,15
25487,0.000000,0.000000,1,16
12097,31.785000,115.411111,1,16
12961,34.401667,115.823889,1,16
20643,32.173710,115.663003,1,16
10056,34.726328,112.132439,1,16
24740,33.781429,111.642917,1,16
5352,34.476056,114.456833,1,16
1793,32.970894,112.506405,1,16
1788,32.061869,114.130080,1,16
1795,32.967697,112.552877,1,16
1794,32.962336,112.571038,1,16
13159,34.789597,114.342169,1,16
5392,34.790556,113.297778,1,16
1789,32.967671,114.030465,1,16
12038,32.941557,114.087750,1,16
444,34.650526,112.399725,1,16
438,34.612996,112.395008,1,16
13116,36.091399,114.307484,1,17
14873,34.720660,111.103252,1,17
15455,36.019027,114.587118,1,17
1790,32.982892,114.001874,1,17
569,34.789043,111.168221,1,17
1787,32.133488,114.008308,1,17
8010,34.723912,112.973372,1,17
5339,34.840616,114.839647,1,17
3796,34.537905,113.389482,1,17
10057,33.789879,111.618339,1,17
20593,34.724429,112.784423,1,17
3697,34.058885,111.073394,1,17
5359,35.689513,115.026280,1,17
3847,31.804035,115.428329,1,17
3716,35.076240,112.509586,1,17
20579,35.222700,113.438300,1,17
3869,32.101031,114.125656,1,17
23884,35.540201,114.530645,1,17
21463,35.072641,112.519782,1,17
11605,32.332500,114.730278,1,18
11919,33.049528,112.222694,1,18
12092,33.709855,112.922660,1,18
20597,34.122945,112.113079,1,18
4610,34.487642,114.465996,1,18
7766,35.548198,114.525356,1,18
5379,35.695278,114.547222,1,18
5361,34.918611,112.786111,1,18
1820,35.243572,113.899216,1,18
1806,34.827096,114.318631,1,18
4371,34.748970,114.460087,1,18
522,33.739200,113.321900,1,18
443,34.619404,112.464172,1,18
7985,36.060634,114.176662,1,19
12095,36.059823,113.826670,1,19
3792,34.718721,113.978153,1,19
13585,35.709639,115.029861,1,19
20647,35.861254,115.495186,1,19
5364,35.099157,113.401745,1,19
887,34.720985,113.742584,1,19
13126,34.717889,111.109592,1,20
11582,33.039083,112.244833,1,20
11659,33.144722,111.495556,1,20
10115,33.028732,112.254673,1,20
5354,35.984667,115.862194,1,20
11922,34.383056,113.770278,1,20
10059,34.112920,112.068470,1,20
10068,34.738060,112.801670,1,20
10038,34.918647,112.786048,1,20
20580,35.087592,112.941077,1,20
24108,32.992300,112.523400,1,20
5199,35.282562,113.924987,1,20
4696,34.601192,112.593732,1,20
1,36.101383,114.361148,1,21
13115,35.327765,113.915490,1,21
10042,35.411249,114.079597,1,21
10043,35.401737,114.068236,1,21
1825,34.752915,113.024497,1,21
5347,34.551861,114.777250,1,21
11788,33.293100,111.486100,1,21
12055,33.039167,111.845361,1,21
11752,33.929927,116.449864,1,21
5371,35.175270,113.062800,1,21
17887,36.076091,115.212480,1,21
16845,0.000000,0.000000,1,21
16850,35.101133,112.507286,1,22
16854,35.135041,112.689370,1,22
12858,34.946940,113.078890,1,22
12275,34.422064,114.188701,1,22
15371,34.446096,113.756407,1,22
11613,31.610833,114.870833,1,22
12358,31.649458,114.882511,1,22
11648,32.119497,115.053506,1,22
11654,32.006254,114.914068,1,22
3791,34.716450,113.976330,1,22
10139,35.972016,114.901460,1,22
7765,35.577763,114.498948,1,22
14872,35.237300,113.246500,1,22
21664,35.176000,113.246700,1,22
1786,32.113739,114.059540,1,22
895,34.802886,113.681189,1,22
361,34.776298,114.344375,1,23
13111,34.412908,112.483242,1,23
890,34.807610,113.570805,1,23
892,34.741145,113.680212,1,23
1784,32.172396,114.538790,1,23
3774,35.973328,114.152765,1,23
3696,35.416572,113.925338,1,23
3844,32.202757,114.509012,1,23
11598,32.197756,114.509762,1,23
5362,35.970472,115.867306,1,23
3845,32.007999,114.912691,1,23
1822,35.067243,112.601919,1,24
12274,35.092000,112.584000,1,24
11619,34.446090,115.068080,1,24
11591,32.365194,113.396306,1,24
11678,32.522778,112.353611,1,24
11786,33.492000,112.438800,1,24
9827,31.809313,114.077358,1,24
25271,36.227581,114.287527,1,24
12945,35.300936,114.066492,1,24
13228,35.309864,113.925956,1,24
11766,34.786600,113.383385,1,24
1817,35.142179,114.205793,1,24
1816,35.730918,114.294564,1,25
13158,34.867994,113.617055,1,25
4762,35.071311,113.950276,1,25
20577,35.086000,112.940000,1,25
330,35.267096,113.206659,1,25
13726,35.794858,115.019983,1,26
327,35.211806,113.232908,1,26
3737,35.207434,113.275872,1,26
20584,35.623100,114.206700,1,26
20644,35.970277,115.866944,1,26
23718,35.094585,113.438537,1,26
11790,33.056139,111.838747,1,26
13052,34.627856,112.495931,1,26
11785,35.477222,113.786944,1,27
4761,35.304778,113.649843,1,27
4581,35.201912,114.670940,1,27
4580,35.178149,113.772367,1,27
15513,34.829884,112.444284,1,27
12276,35.263633,113.633086,1,28
11784,35.047514,114.430950,1,28
1815,35.722270,114.291488,1,28
16852,34.928431,112.524757,1,29
12036,35.268600,113.315500,1,29
5378,35.163010,113.069000,1,30
10045,35.450560,113.784112,1,31
5387,35.186389,114.132500,1,31
9826,35.236396,113.180645,1,31
23741,36.105586,114.298090,1,31
3243,34.827766,114.255401,1,31
16149,36.106582,114.299435,1,31
13114,35.662937,114.546560,1,32
1741,35.760588,115.063303,1,32
5376,35.151290,113.080700,1,32
11793,32.384500,113.400600,1,32
20648,35.916440,115.085130,1,32
10131,32.474360,115.404571,1,33
1814,35.750387,114.301790,1,33
363,34.794520,114.296905,1,33
12343,34.796389,114.365000,1,33
16848,35.160298,112.543028,1,33
16849,35.160959,112.133528,1,34
11782,35.063194,113.937725,1,34
1739,35.776669,115.081092,1,34
3695,35.307596,113.906465,1,35
5384,35.056389,114.387778,1,35
12094,35.957669,114.894849,1,35
24224,34.827257,114.795178,1,35
11286,34.049700,111.048300,1,35
13118,34.749530,114.458029,2,36
9802,34.907222,113.208889,2,36
4692,35.766661,115.005943,2,36
1743,35.763540,115.037784,2,36
4579,35.010268,113.748591,2,37
24797,35.602000,114.207100,2,38
16847,35.032830,112.200224,2,39
11783,35.155764,114.192544,2,40
4574,32.981543,112.619938,2,41
10134,35.781630,115.027692,2,45
16851,35.113906,112.272468,2,56
4697,34.901082,112.581964,2,63
